id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26495,VECA,small_airport,Chabua Air Force Station,27.4622001647949,95.1176986694336,367,AS,IN,IN-AS,Dibrugarh,0,VECA,,,,http://en.wikipedia.org/wiki/Chabua_Air_Force_Base,,50,2008-06-13T14:30:04+00:00
32589,VODK,closed,Dunakonda Airport,15.8063,79.4882,472,AS,IN,IN-AP,Dunakonda,0,VODK,,,,http://en.wikipedia.org/wiki/Donakonda_Airport,,50,2015-05-13T05:54:06+00:00
31698,IN-JGB,small_airport,Jagdalpur Airport,19.0743007659912,82.0367965698242,1822,AS,IN,IN-CT,Jagdalpur,0,,JGB,,,,,50,2008-06-13T14:30:04+00:00
32183,VEJP,small_airport,Jeypore Airport,18.8799991607666,82.552001953125,1952,AS,IN,IN-OR,Jeypore,0,VEJP,PYB,,,,"Jeypur, Jaypur",50,2008-06-13T14:30:04+00:00
3333,VI75,small_airport,IIT Kanpur Airport,26.520399,80.232904,400,AS,IN,IN-UP,Kalyanpur,0,,,,,https://en.wikipedia.org/wiki/IIT_Kanpur_Airport,"Kalyanpur Airport, VI75",50,2018-05-01T01:11:23+00:00
31691,VEKW,small_airport,Khowai Airport,24.061899,91.603897,95,AS,IN,IN-TR,Khowai,0,VEKW,IXN,,,https://en.wikipedia.org/wiki/Khowai_Airport,,50,2018-04-30T12:02:58+00:00
32576,VILP,small_airport,Lalitpur Airport,24.7169990539551,78.4169998168945,1204,AS,IN,IN-UP,Lalitpur,0,VILP,,,,,,50,2008-06-13T14:30:04+00:00
3341,VO55,medium_airport,Murod Kond Airport,18.411501,76.464699,2136,AS,IN,IN-MM,Latur,1,VALT,LTU,,,http://en.wikipedia.org/wiki/Latur_Airport,,50,2018-04-30T11:16:59+00:00
26544,VIBL,small_airport,Bakshi Ka Talab Air Force Station,26.9883003234863,80.8930969238281,385,AS,IN,IN-UP,Lucknow,0,VIBL,,,,,,50,2008-06-13T14:30:04+00:00
31799,VEMH,small_airport,Malda Airport,25.033001,88.133003,79,AS,IN,IN-WB,Malda,0,VEMH,LDA,,,https://en.wikipedia.org/wiki/Malda_Airport,English Bazar,50,2018-04-30T12:02:27+00:00
